,0
676,VEGFB_expression
677,TNFAIP6_expression
678,SRPK1_expression
679,PRLR_expression
680,STIM1_expression
681,SHC4_expression
682,CDH1_expression
683,LILRB2_expression
684,FASN_expression
685,CYFIP1_expression
686,PAK1_expression
687,MAGEA11_expression
688,PTPRF_expression
689,FOXO4_expression
690,MAD2L1_expression
691,FCGR2A_expression
692,DUSP13_expression
693,GATA1_expression
694,THY1_expression
695,PDK1_expression
696,TYROBP_expression
697,SNAI2_expression
698,C19orf59_expression
699,SMAD4_expression
700,PTPRD_expression
701,PPARG_expression
702,TIFA_expression
703,PGLS_expression
704,PTPN5_expression
705,AIF1_expression
706,PTP4A3_expression
707,PDGFRA_expression
708,DUSP12_expression
709,PTPRK_expression
710,BAK1_expression
711,DVL1_expression
712,ANXA2_expression
713,HEY1_expression
714,JUN_expression
715,JAK3_expression
716,PIP4K2C_expression
717,MYC_expression
718,TRIM24_expression
719,PDGFD_expression
720,HLA-C_expression
721,EPS8_expression
722,CTTN_expression
723,RNPS1_expression
724,STAC3_expression
725,PTPN23_expression
726,CD86_expression
727,COL3A1_expression
728,ITGB1_expression
729,ZEB1_expression
730,RASA1_expression
731,PTPN13_expression
732,MTM1_expression
733,DSG2_expression
734,USP20_expression
735,UBC_expression
736,MSRB3_expression
737,S100A13_expression
738,CD3G_expression
739,CD53_expression
740,EVI2A_expression
741,TP53_expression
742,IRF8_expression
743,TGM5_expression
744,PTPRS_expression
745,NIPSNAP3B_expression
746,CDC25B_expression
747,RAB37_expression
748,NONO_expression
749,AKT2_expression
750,RGS18_expression
751,RET_expression
752,FRS2_expression
753,CEBPB_expression
754,SPINT2_expression
755,PTPRJ_expression
756,VPREB1_expression
757,ALG2_expression
758,DUSP26_expression
759,WASF3_expression
760,STAT2_expression
761,NFYC_expression
762,PCDH18_expression
763,ITK_expression
764,PDCD6IP_expression
765,MAPKAP1_expression
766,ARHGEF6_expression
767,BPTF_expression
768,EIF2AK2_expression
769,ARHGAP9_expression
770,TEAD1_expression
771,MATK_expression
772,FGR_expression
773,PTPN1_expression
774,APP_expression
775,PLCG2_expression
776,CACNA2D4_expression
777,EP300_expression
778,SLC9A3R2_expression
779,MYOF_expression
780,ELMO1_expression
781,MFGE8_expression
782,CEP76_expression
783,CSF2_expression
784,IGLL1_expression
785,PTPN6_expression
786,FGFR1OP2_expression
787,MTOR_expression
788,SSH2_expression
789,PTPRE_expression
790,GATA6_expression
791,TAF9_expression
792,P2RY2_expression
793,SOCS2_expression
794,CAV3_expression
795,EVI2B_expression
796,SH3KBP1_mutation
797,VTN_mutation
798,ORAI1_mutation
799,FBXO25_mutation
800,KDR_mutation
801,NRP1_mutation
802,CBL_mutation
803,REL_mutation
804,PTPRB_mutation
805,DVL3_mutation
806,CXorf21_mutation
807,F8_mutation
808,ADAM15_mutation
809,MAPK12_mutation
810,FGFR4_mutation
811,NRP2_mutation
812,TPD52_mutation
813,SH2D2A_mutation
814,EGFR_mutation
815,CNTRL_mutation
816,CP_mutation
817,PIP4K2A_mutation
818,DOCK1_mutation
819,HSP90AA1_mutation
820,GLI2_mutation
821,BMX_mutation
822,CD300LF_mutation
823,BTRC_mutation
824,ROCK1_mutation
825,CREBBP_mutation
826,ZZEF1_mutation
827,ONECUT1_mutation
828,JAK1_mutation
829,FLT4_mutation
830,FGF10_mutation
831,FOXK1_mutation
832,GNA11_mutation
833,FUT7_mutation
834,NOS3_mutation
835,LRP6_mutation
836,TJP1_mutation
837,RASA2_mutation
838,CSF3R_mutation
839,S1PR2_mutation
840,NFKB1_mutation
841,HRC_mutation
842,ABL1_mutation
843,ITGAV_mutation
844,HSPG2_mutation
845,OTUD7B_mutation
846,SHC2_mutation
847,SH2B1_mutation
848,MTMR3_mutation
849,LAPTM4B_mutation
850,PRKCG_mutation
851,PIK3R3_mutation
852,DUSP10_mutation
853,CYTH4_mutation
854,ZEB2_mutation
855,EYA1_mutation
856,CD9_mutation
857,FGF5_mutation
858,KLB_mutation
859,LRRFIP1_mutation
860,ZBTB34_mutation
861,CTNNA1_mutation
862,PCDH19_mutation
863,VAV3_mutation
864,DUSP6_mutation
865,PTP4A2_mutation
866,ATR_mutation
867,DLG1_mutation
868,EPC1_mutation
869,PAG1_mutation
870,DOCK8_mutation
871,BZRAP1_mutation
872,SERPINB10_mutation
873,MMP2_mutation
874,PLD4_mutation
875,SPRED2_mutation
876,MYO1G_mutation
877,PRKCB_mutation
878,PRKCH_mutation
879,CHN2_mutation
880,LRMP_mutation
881,DENND3_mutation
882,EPN1_mutation
883,COLEC12_mutation
884,SCFD1_mutation
885,SOS1_mutation
886,HNF4A_mutation
887,RECK_mutation
888,EMILIN1_mutation
889,PIK3CA_mutation
890,HIF1A_mutation
891,TNS1_mutation
892,GFI1_mutation
893,COL6A3_mutation
894,SHC3_mutation
895,PIK3C2B_mutation
896,FER_mutation
897,MYB_mutation
898,DUSP19_mutation
899,DENND4C_mutation
900,THOC5_mutation
901,PRLR_mutation
902,STAT4_mutation
903,RYR1_mutation
904,IKZF1_mutation
905,TNK1_mutation
906,ARAF_mutation
907,EPN2_mutation
908,CDH1_mutation
909,CCR2_mutation
910,FASN_mutation
911,STAT3_mutation
912,SLC46A1_mutation
913,PTPRF_mutation
914,PTPRQ_mutation
915,APC_mutation
916,FOXO4_mutation
917,LRP1_mutation
918,SMAD4_mutation
919,SGK1_mutation
920,PEX5_mutation
921,LYN_mutation
922,CD244_mutation
923,SNAI2_mutation
924,PTPRD_mutation
925,COL1A2_mutation
926,PHLDB2_mutation
927,ITGA11_mutation
928,PPFIA3_mutation
929,GAB3_mutation
930,VAV2_mutation
931,APPL1_mutation
932,FOXO3_mutation
933,PDGFRA_mutation
934,EN1_mutation
935,IL17RA_mutation
936,PLXNA1_mutation
937,DNAJC6_mutation
938,PTPRK_mutation
939,RCSD1_mutation
940,SH2B2_mutation
941,ANXA2_mutation
942,MRC2_mutation
943,TRAF3IP1_mutation
944,YY1_mutation
945,TRAF4_mutation
946,JAK3_mutation
947,NAA15_mutation
948,KLHL12_mutation
949,GNAQ_mutation
950,LRFN1_mutation
951,ERRFI1_mutation
952,CLTC_mutation
953,EPS8_mutation
954,CTTN_mutation
955,FASTKD5_mutation
956,PIK3C2A_mutation
957,CEP70_mutation
958,MPDZ_mutation
959,PIK3CB_mutation
960,ITGA2_mutation
961,MYO1C_mutation
962,PTPN11_mutation
963,ZEB1_mutation
964,RASA1_mutation
965,PTPN4_mutation
966,NEDD4_mutation
967,GAB2_mutation
968,S1PR5_mutation
969,PTPN13_mutation
970,MET_mutation
971,MTM1_mutation
972,MPO_mutation
973,DVL2_mutation
974,TFAP2B_mutation
975,COL18A1_mutation
976,DSG2_mutation
977,PTPRN2_mutation
978,TGIF1_mutation
979,USP20_mutation
980,CGN_mutation
981,SREBF1_mutation
982,TFAP2A_mutation
983,MS4A6A_mutation
984,FBF1_mutation
985,MYO1F_mutation
986,F10_mutation
987,BCLAF1_mutation
988,TP53_mutation
989,MEF2C_mutation
990,PTPN14_mutation
991,NEBL_mutation
992,LGMN_mutation
993,HAL_mutation
994,PTPRS_mutation
995,NIPSNAP3B_mutation
996,PLK1_mutation
997,BGN_mutation
998,CDC25B_mutation
999,TYK2_mutation
1000,ZHX2_mutation
1001,RET_mutation
1002,PTEN_mutation
1003,EPM2A_mutation
1004,FRS2_mutation
1005,ITGB3_mutation
1006,PTPRJ_mutation
1007,ADRBK1_mutation
1008,PTPRU_mutation
1009,FBN1_mutation
1010,DUSP26_mutation
1011,SHC1_mutation
1012,STAT2_mutation
1013,EYA2_mutation
1014,WASF2_mutation
1015,PDCD6IP_mutation
1016,BPTF_mutation
1017,ARHGAP9_mutation
1018,PRKCA_mutation
1019,KIT_mutation
1020,CSF2RB_mutation
1021,PTPRC_mutation
1022,CCDC155_mutation
1023,WDR35_mutation
1024,FGFR2_mutation
1025,TGFBR2_mutation
1026,CRK_mutation
1027,APP_mutation
1028,ITGA1_mutation
1029,CBLB_mutation
1030,MAPK11_mutation
1031,INPP5D_mutation
1032,NTRK1_mutation
1033,EP300_mutation
1034,KL_mutation
1035,TRIP6_mutation
1036,SOS2_mutation
1037,MFGE8_mutation
1038,STAT1_mutation
1039,PTK2_mutation
1040,HMHA1_mutation
1041,PTPN6_mutation
1042,TXK_mutation
1043,INTU_mutation
1044,PALLD_mutation
1045,SH2B3_mutation
1046,UBA5_mutation
1047,WDR74_mutation
1048,ITGB2_mutation
1049,MTOR_mutation
1050,INPPL1_mutation
1051,PLCE1_mutation
1052,VEGFA_mutation
1053,AGT_mutation
1054,SSH2_mutation
1055,CPT2_mutation
1056,IL1B_mutation
1057,GATA2_mutation
1058,NCK1_mutation
