modality,column_index,column_name
mutation,496,AKAP3
mutation,497,AKAP4
mutation,498,AKAP5
mutation,499,AKAP6
mutation,500,AKAP7
mutation,501,AKAP8
mutation,502,AKAP8L
mutation,503,AKAP9
mutation,504,AKIP1
mutation,505,AKIRIN1
mutation,506,AKIRIN2
mutation,507,AKNA
mutation,508,AKNAD1
mutation,509,AKR1A1
mutation,510,AKR1B1
mutation,511,AKR1B10
mutation,512,AKR1B15
mutation,513,AKR1C1
mutation,514,AKR1C2
mutation,515,AKR1C3
mutation,516,AKR1C4
mutation,517,AKR1C8P
mutation,518,AKR1D1
mutation,519,AKR1E2
mutation,520,AKR7A2
mutation,521,AKR7A3
mutation,522,AKR7L
mutation,523,AKT1
mutation,524,AKT1S1
mutation,525,AKT2
mutation,526,AKT3
mutation,527,AKTIP
mutation,528,ALAD
mutation,529,ALAS1
mutation,530,ALAS2
mutation,531,ALB
mutation,532,ALCAM
mutation,533,ALDH16A1
mutation,534,ALDH18A1
mutation,535,ALDH1A1
mutation,536,ALDH1A2
mutation,537,ALDH1A3
mutation,538,ALDH1B1
mutation,539,ALDH1L1
mutation,540,ALDH1L2
mutation,541,ALDH2
mutation,542,ALDH3A1
mutation,543,ALDH3A2
mutation,544,ALDH3B1
mutation,545,ALDH3B2
mutation,546,ALDH4A1
mutation,547,ALDH5A1
mutation,548,ALDH6A1
mutation,549,ALDH7A1
mutation,550,ALDH8A1
mutation,551,ALDH9A1
mutation,552,ALDOA
mutation,553,ALDOB
mutation,554,ALDOC
mutation,555,ALG1
mutation,556,ALG10
mutation,557,ALG10B
mutation,558,ALG11
mutation,559,ALG12
mutation,560,ALG13
mutation,561,ALG14
mutation,562,ALG1L
mutation,563,ALG1L2
mutation,564,ALG2
mutation,565,ALG3
mutation,566,ALG5
mutation,567,ALG6
mutation,568,ALG8
mutation,569,ALG9
mutation,570,ALK
mutation,571,ALKAL1
mutation,572,ALKAL2
mutation,573,ALKBH1
mutation,574,ALKBH2
mutation,575,ALKBH3
mutation,576,ALKBH4
mutation,577,ALKBH5
mutation,578,ALKBH6
mutation,579,ALKBH7
mutation,580,ALKBH8
mutation,581,ALLC
mutation,582,ALMS1
mutation,583,ALOX12
mutation,584,ALOX12B
mutation,585,ALOX15
